"","sample","fastq_1","fastq_2","strandedness","ID","sf","Driver","Host","CDKN2AB","PTEN","Type","Clone","Replicate","OriginalOrder","Random_Sample_No","LibraryBatch","SeqBatch","SeqBatchSample","Adapter","QuickID","ID2"
"80","TK080","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_80_S10_R1_001.fastq.gz",NA,"auto","TK_80","TK_80_S10_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","GBO","31.3.1",2,80,84,7,7,"S10",27,"TK84","TK_080_S10"
"81","TK081","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_81_S11_R1_001.fastq.gz",NA,"auto","TK_81","TK_81_S11_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","GBO","31.3.1",3,81,83,10,10,"S11",25,"TK83","TK_081_S11"
"82","TK082","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_82_S7_R1_001.fastq.gz",NA,"auto","TK_82","TK_82_S7_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","GBO","31.3.1",1,82,43,4,4,"S7",20,"TK43","TK_082_S7"
"83","TK083","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_83_S1_R1_001.fastq.gz",NA,"auto","TK_83","TK_83_S1_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","Tumor","31.3.2",2,83,37,4,4,"S1",1,"TK37","TK_083_S1"
"84","TK084","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_84_S5_R1_001.fastq.gz",NA,"auto","TK_84","TK_84_S5_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS2","31.3.2",3,84,65,6,6,"S5",10,"TK65","TK_084_S5"
"85","TK085","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_85_S7_R1_001.fastq.gz",NA,"auto","TK_85","TK_85_S7_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS2","31.3.2",1,85,80,7,7,"S7",21,"TK80","TK_085_S7"
"86","TK086","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_86_S8_R1_001.fastq.gz",NA,"auto","TK_86","TK_86_S8_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS2","31.3.2",2,86,116,10,10,"S8",21,"TK116","TK_086_S8"
"87","TK087","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_87_S5_R1_001.fastq.gz",NA,"auto","TK_87","TK_87_S5_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","GBO","31.3.2",3,87,101,9,9,"S5",10,"TK101","TK_087_S5"
"88","TK088","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_88_S12_R1_001.fastq.gz",NA,"auto","TK_88","TK_88_S12_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","GBO","31.3.2",1,88,48,4,4,"S12",27,"TK48","TK_088_S12"
"89","TK089","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_89_S8_R1_001.fastq.gz",NA,"auto","TK_89","TK_89_S8_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","GBO","31.3.2",2,89,19,2,2,"S8",21,"TK20","TK_089_S8"
"90","TK090","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_90_S9_R1_001.fastq.gz",NA,"auto","TK_90","TK_90_S9_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","Tumor","31.3.3",3,90,45,4,4,"S9",22,"TK45","TK_090_S9"
"91","TK091","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_91_S1_R1_001.fastq.gz",NA,"auto","TK_91","TK_91_S1_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS2","31.3.3",1,91,13,2,2,"S1",1,"TK13","TK_091_S1"
"92","TK092","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_92_S10_R1_001.fastq.gz",NA,"auto","TK_92","TK_92_S10_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS2","31.3.3",2,92,34,3,3,"S10",23,"TK34","TK_092_S10"
"93","TK093","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_93_S10_R1_001.fastq.gz",NA,"auto","TK_93","TK_93_S10_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS2","31.3.3",3,93,58,5,5,"S10",23,"TK58","TK_093_S10"
"94","TK094","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_94_S5_R1_001.fastq.gz",NA,"auto","TK_94","TK_94_S5_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","GBO","31.3.3",1,94,17,2,2,"S5",10,"TK17","TK_094_S5"
"95","TK095","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_95_S10_R1_001.fastq.gz",NA,"auto","TK_95","TK_95_S10_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","GBO","31.3.3",2,95,94,8,8,"S10",23,"TK94","TK_095_S10"
"96","TK096","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_96_S4_R1_001.fastq.gz",NA,"auto","TK_96","TK_96_S4_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","GBO","31.3.3",3,96,88,8,8,"S4",9,"TK88","TK_096_S4"
"97","TK097","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_97_S2_R1_001.fastq.gz",NA,"auto","TK_97","TK_97_S2_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","Tumor","31.4.1",1,97,98,9,9,"S2",3,"TK98","TK_097_S2"
"98","TK098","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_98_S2_R1_001.fastq.gz",NA,"auto","TK_98","TK_98_S2_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS2","31.4.1",2,98,110,10,10,"S2",3,"TK110","TK_098_S2"
"99","TK099","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_99_S6_R1_001.fastq.gz",NA,"auto","TK_99","TK_99_S6_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS2","31.4.1",3,99,79,7,7,"S6",20,"TK79","TK_099_S6"
"100","TK100","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_100_S11_R1_001.fastq.gz",NA,"auto","TK_100","TK_100_S11_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS2","31.4.1",1,100,107,9,9,"S11",25,"TK107","TK_100_S11"
"101","TK101","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_101_S7_R1_001.fastq.gz",NA,"auto","TK_101","TK_101_S7_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","GBO","31.4.1",2,101,91,8,8,"S7",20,"TK91","TK_101_S7"
"102","TK102","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_102_S2_R1_001.fastq.gz",NA,"auto","TK_102","TK_102_S2_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","GBO","31.4.1",3,102,86,8,8,"S2",3,"TK86","TK_102_S2"
"103","TK103","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_103_S9_R1_001.fastq.gz",NA,"auto","TK_103","TK_103_S9_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","GBO","31.4.1",1,103,117,10,10,"S9",22,"TK117","TK_103_S9"
"104","TK104","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_104_S1_R1_001.fastq.gz",NA,"auto","TK_104","TK_104_S1_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","Tumor","31.4.2",2,104,1,1,1,"S1",1,"TK01","TK_104_S1"
"105","TK105","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_105_S3_R1_001.fastq.gz",NA,"auto","TK_105","TK_105_S3_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS2","31.4.2",3,105,3,1,1,"S3",8,"TK03","TK_105_S3"
"106","TK106","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_106_S9_R1_001.fastq.gz",NA,"auto","TK_106","TK_106_S9_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS2","31.4.2",1,106,21,2,2,"S9",22,"TK21","TK_106_S9"
"107","TK107","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_107_S3_R1_001.fastq.gz",NA,"auto","TK_107","TK_107_S3_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS2","31.4.2",2,107,27,3,3,"S3",8,"TK27","TK_107_S3"
"108","TK108","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_108_S12_R1_001.fastq.gz",NA,"auto","TK_108","TK_108_S12_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","GBO","31.4.2",3,108,108,9,9,"S12",27,"TK108","TK_108_S12"
"109","TK109","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_109_S4_R1_001.fastq.gz",NA,"auto","TK_109","TK_109_S4_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","GBO","31.4.2",1,109,112,10,10,"S4",9,"TK112","TK_109_S4"
"110","TK110","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_110_S2_R1_001.fastq.gz",NA,"auto","TK_110","TK_110_S2_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","GBO","31.4.2",2,110,14,2,2,"S2",3,"TK14","TK_110_S2"
"111","TK111","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_111_S11_R1_001.fastq.gz",NA,"auto","TK_111","TK_111_S11_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","Tumor","31.4.3",3,111,11,1,1,"S11",25,"TK11","TK_111_S11"
"112","TK112","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_112_S12_R1_001.fastq.gz",NA,"auto","TK_112","TK_112_S12_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS2","31.4.3",1,112,24,2,2,"S12",27,"TK24","TK_112_S12"
"113","TK113","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_113_S10_R1_001.fastq.gz",NA,"auto","TK_113","TK_113_S10_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS2","31.4.3",2,113,46,4,4,"S10",23,"TK46","TK_113_S10"
"114","TK114","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_114_S12_R1_001.fastq.gz",NA,"auto","TK_114","TK_114_S12_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS2","31.4.3",3,114,36,3,3,"S12",27,"TK36","TK_114_S12"
"115","TK115","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_115_S6_R1_001.fastq.gz",NA,"auto","TK_115","TK_115_S6_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","GBO","31.4.3",1,115,114,10,10,"S6",11,"TK114","TK_115_S6"
"116","TK116","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_116_S8_R1_001.fastq.gz",NA,"auto","TK_116","TK_116_S8_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","GBO","31.4.3",2,116,104,9,9,"S8",21,"TK104","TK_116_S8"
"117","TK117","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_117_S2_R1_001.fastq.gz",NA,"auto","TK_117","TK_117_S2_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","GBO","31.4.3",3,117,74,7,7,"S2",3,"TK74","TK_117_S2"
