"","sample","fastq_1","fastq_2","strandedness","ID","sf","Driver","Host","CDKN2AB","PTEN","Type","Clone","Replicate","OriginalOrder","Random_Sample_No","LibraryBatch","SeqBatch","SeqBatchSample","Adapter","QuickID","ID2"
"20","TK020","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_20_S1_R1_001.fastq.gz",NA,"auto","TK_20","TK_20_S1_R1_001.sf","PDGFRA","NSG","Hom_del","Hom_del","NS1","15.9.5",2,20,73,7,7,"S1",1,"TK73","TK_020_S1"
"21","TK021","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_21_S10_R1_001.fastq.gz",NA,"auto","TK_21","TK_21_S10_R1_001.sf","PDGFRA","NSG","Hom_del","Hom_del","NS1","15.9.5",3,21,106,9,9,"S10",23,"TK106","TK_021_S10"
"22","TK022","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_22_S7_R1_001.fastq.gz",NA,"auto","TK_22","TK_22_S7_R1_001.sf","PDGFRA","NSG","Hom_del","Hom_del","NS1","15.10.1",1,22,20,2,2,"S7",20,"TK19","TK_022_S7"
"23","TK023","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_23_S3_R1_001.fastq.gz",NA,"auto","TK_23","TK_23_S3_R1_001.sf","PDGFRA","NSG","Hom_del","Hom_del","NS1","15.10.1",2,23,87,8,8,"S3",8,"TK87","TK_023_S3"
"24","TK024","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_24_S9_R1_001.fastq.gz",NA,"auto","TK_24","TK_24_S9_R1_001.sf","PDGFRA","NSG","Hom_del","Hom_del","NS1","15.10.1",3,24,9,1,1,"S9",22,"TK09","TK_024_S9"
"25","TK025","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_25_S8_R1_001.fastq.gz",NA,"auto","TK_25","TK_25_S8_R1_001.sf","PDGFRA","NSG","Hom_del","Hom_del","NS1","15.10.2",1,25,8,1,1,"S8",21,"TK08","TK_025_S8"
"26","TK026","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_26_S10_R1_001.fastq.gz",NA,"auto","TK_26","TK_26_S10_R1_001.sf","PDGFRA","NSG","Hom_del","Hom_del","NS1","15.10.2",2,26,22,2,2,"S10",23,"TK22","TK_026_S10"
"27","TK027","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_27_S4_R1_001.fastq.gz",NA,"auto","TK_27","TK_27_S4_R1_001.sf","PDGFRA","NSG","Hom_del","Hom_del","NS1","15.10.2",3,27,28,3,3,"S4",9,"TK28","TK_027_S4"
"28","TK028","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_28_S11_R1_001.fastq.gz",NA,"auto","TK_28","TK_28_S11_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS1","16.4.4",1,28,59,5,5,"S11",25,"TK59","TK_028_S11"
"29","TK029","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_29_S3_R1_001.fastq.gz",NA,"auto","TK_29","TK_29_S3_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS1","16.4.4",2,29,39,4,4,"S3",8,"TK39","TK_029_S3"
"30","TK030","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_30_S7_R1_001.fastq.gz",NA,"auto","TK_30","TK_30_S7_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS1","16.4.4",3,30,31,3,3,"S7",20,"TK31","TK_030_S7"
