ID,sf,Driver,Host,CDKN2AB,PTEN,Type,Clone,Replicate,OriginalOrder,Random_Sample_No,LibraryBatch,SeqBatch,SeqBatchSample,Adapter,QuickID
TK_43,TK_43_S2_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,NS1,16.6.5,1,43,38,4,4,S2,3,TK38
TK_44,TK_44_S2_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,NS1,16.6.5,2,44,2,1,1,S2,3,TK02
TK_45,TK_45_S5_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,NS1,16.6.5,3,45,29,3,3,S5,10,TK29
TK_46,TK_46_S1_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS1,16.9.5,1,46,109,10,10,S1,1,TK109
TK_47,TK_47_S9_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS1,16.9.5,2,47,69,6,6,S9,22,TK69
TK_48,TK_48_S3_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS1,16.9.5,3,48,15,2,2,S3,8,TK15
TK_49,TK_49_S6_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS1,16.10.1,1,49,30,3,3,S6,11,TK30
TK_50,TK_50_S6_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS1,16.10.1,2,50,42,4,4,S6,11,TK42
TK_51,TK_51_S9_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS1,16.10.1,3,51,105,9,9,S9,22,TK105
TK_52,TK_52_S5_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS1,16.10.2,1,52,53,5,5,S5,10,TK53
TK_53,TK_53_S3_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS1,16.10.2,2,53,75,7,7,S3,8,TK75
TK_54,TK_54_S3_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS1,16.10.2,3,54,111,10,10,S3,8,TK111
TK_55,TK_55_S6_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,Tumor,31.2.1,1,55,102,9,9,S6,11,TK102
TK_56,TK_56_S12_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS2,31.2.1,2,56,12,1,1,S12,27,TK12
TK_57,TK_57_S11_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS2,31.2.1,3,57,71,6,6,S11,25,TK71
TK_58,TK_58_S6_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS2,31.2.1,1,58,66,6,6,S6,11,TK66
TK_59,TK_59_S1_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,GBO,31.2.1,2,59,49,5,5,S1,1,TK49
TK_60,TK_60_S5_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,GBO,31.2.1,3,60,78,7,7,S5,11,TK78
TK_61,TK_61_S7_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,GBO,31.2.1,1,61,67,6,6,S7,20,TK67
TK_62,TK_62_S8_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,Tumor,31.2.3,2,62,44,4,4,S8,21,TK44
TK_63,TK_63_S9_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS2,31.2.3,3,63,82,7,7,S9,23,TK82
TK_64,TK_64_S4_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS2,31.2.3,1,64,52,5,5,S4,9,TK52
TK_65,TK_65_S6_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS2,31.2.3,2,65,6,1,1,S6,11,TK06
TK_66,TK_66_S10_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,GBO,31.2.3,3,66,76,10,10,S10,23,TK76
TK_67,TK_67_S5_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,GBO,31.2.3,1,67,5,1,1,S5,10,TK05
TK_68,TK_68_S7_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,GBO,31.2.3,2,68,7,1,1,S7,20,TK07
TK_69,TK_69_S6_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,Tumor,31.2.5,3,69,90,8,8,S6,11,TK90
TK_70,TK_70_S7_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS2,31.2.5,1,70,103,9,9,S7,20,TK103
TK_71,TK_71_S4_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS2,31.2.5,2,71,40,4,4,S4,9,TK40
TK_72,TK_72_S1_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,NS2,31.2.5,3,72,61,6,6,S1,1,TK61
TK_73,TK_73_S11_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,GBO,31.2.5,1,73,95,8,8,S11,25,TK95
TK_74,TK_74_S9_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,GBO,31.2.5,2,74,57,5,5,S9,22,TK57
TK_75,TK_75_S3_R1_001.sf,PDGFRA,BL6,Hom_del,Hom_del,GBO,31.2.5,3,75,51,5,5,S3,8,TK51
TK_76,TK_76_S2_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,Tumor,31.3.1,1,76,26,3,3,S2,3,TK26
TK_77,TK_77_S11_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,NS2,31.3.1,2,77,23,2,2,S11,25,TK23
TK_78,TK_78_S12_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,NS2,31.3.1,3,78,60,5,5,S12,27,TK60
TK_79,TK_79_S4_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,NS2,31.3.1,1,79,77,7,7,S4,10,TK77
TK_80,TK_80_S10_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,GBO,31.3.1,2,80,84,7,7,S10,27,TK84
TK_81,TK_81_S11_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,GBO,31.3.1,3,81,83,10,10,S11,25,TK83
TK_82,TK_82_S7_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,GBO,31.3.1,1,82,43,4,4,S7,20,TK43
TK_83,TK_83_S1_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,Tumor,31.3.2,2,83,37,4,4,S1,1,TK37
TK_84,TK_84_S5_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,NS2,31.3.2,3,84,65,6,6,S5,10,TK65
