sample,fastq_1,fastq_2,strandedness,id
TK_045_S5,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_45_S5_R1_001.fastq.gz,,auto,TK045
TK_046_S1,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_46_S1_R1_001.fastq.gz,,auto,TK046
TK_047_S9,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_47_S9_R1_001.fastq.gz,,auto,TK047
TK_048_S3,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_48_S3_R1_001.fastq.gz,,auto,TK048
TK_049_S6,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_49_S6_R1_001.fastq.gz,,auto,TK049
TK_050_S6,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_50_S6_R1_001.fastq.gz,,auto,TK050
TK_051_S9,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_51_S9_R1_001.fastq.gz,,auto,TK051
TK_052_S5,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_52_S5_R1_001.fastq.gz,,auto,TK052
TK_053_S3,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_53_S3_R1_001.fastq.gz,,auto,TK053
TK_054_S3,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_54_S3_R1_001.fastq.gz,,auto,TK054
TK_055_S6,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_55_S6_R1_001.fastq.gz,,auto,TK055
TK_056_S12,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_56_S12_R1_001.fastq.gz,,auto,TK056
TK_057_S11,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_57_S11_R1_001.fastq.gz,,auto,TK057
TK_058_S6,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_58_S6_R1_001.fastq.gz,,auto,TK058
TK_059_S1,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_59_S1_R1_001.fastq.gz,,auto,TK059
TK_060_S5,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_60_S5_R1_001.fastq.gz,,auto,TK060
TK_061_S7,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_61_S7_R1_001.fastq.gz,,auto,TK061
TK_062_S8,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_62_S8_R1_001.fastq.gz,,auto,TK062
TK_063_S9,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_63_S9_R1_001.fastq.gz,,auto,TK063
TK_064_S4,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_64_S4_R1_001.fastq.gz,,auto,TK064
TK_065_S6,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_65_S6_R1_001.fastq.gz,,auto,TK065
TK_066_S10,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_66_S10_R1_001.fastq.gz,,auto,TK066
TK_067_S5,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_67_S5_R1_001.fastq.gz,,auto,TK067
TK_068_S7,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_68_S7_R1_001.fastq.gz,,auto,TK068
TK_069_S6,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_69_S6_R1_001.fastq.gz,,auto,TK069
TK_070_S7,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_70_S7_R1_001.fastq.gz,,auto,TK070
TK_071_S4,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_71_S4_R1_001.fastq.gz,,auto,TK071
TK_072_S1,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_72_S1_R1_001.fastq.gz,,auto,TK072
TK_073_S11,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_73_S11_R1_001.fastq.gz,,auto,TK073
TK_074_S9,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_74_S9_R1_001.fastq.gz,,auto,TK074
TK_075_S3,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_75_S3_R1_001.fastq.gz,,auto,TK075
TK_076_S2,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_76_S2_R1_001.fastq.gz,,auto,TK076
TK_077_S11,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_77_S11_R1_001.fastq.gz,,auto,TK077
TK_078_S12,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_78_S12_R1_001.fastq.gz,,auto,TK078
TK_079_S4,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_79_S4_R1_001.fastq.gz,,auto,TK079
